321224 2016-09-14 11:26:53,710 INFO             ru.itis2016.ServletCalculator  - mathAction that was added to session: null
326806 2016-09-14 11:26:59,292 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
326807 2016-09-14 11:26:59,293 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
331705 2016-09-14 11:27:04,191 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 7
331705 2016-09-14 11:27:04,191 DEBUG            ru.itis2016.ServletCalculator  - Cookies added null
0      2016-09-14 11:38:29,254 INFO             ru.itis2016.ServletCalculator  - Text that was added to session: null
2      2016-09-14 11:38:29,256 INFO             ru.itis2016.ServletCalculator  - mathAction that was added to session: null
5494   2016-09-14 11:38:34,748 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
5498   2016-09-14 11:38:34,752 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
5499   2016-09-14 11:38:34,753 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
5499   2016-09-14 11:38:34,753 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
5500   2016-09-14 11:38:34,754 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
9675   2016-09-14 11:38:38,929 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
9676   2016-09-14 11:38:38,930 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
9676   2016-09-14 11:38:38,930 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
9677   2016-09-14 11:38:38,931 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
9677   2016-09-14 11:38:38,931 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
14757  2016-09-14 11:38:44,011 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
14757  2016-09-14 11:38:44,011 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
14757  2016-09-14 11:38:44,011 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
14757  2016-09-14 11:38:44,011 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
14757  2016-09-14 11:38:44,011 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15251  2016-09-14 11:38:44,505 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15257  2016-09-14 11:38:44,511 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15258  2016-09-14 11:38:44,512 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15258  2016-09-14 11:38:44,512 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15258  2016-09-14 11:38:44,512 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15405  2016-09-14 11:38:44,659 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15405  2016-09-14 11:38:44,659 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15405  2016-09-14 11:38:44,659 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15405  2016-09-14 11:38:44,659 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15405  2016-09-14 11:38:44,659 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15565  2016-09-14 11:38:44,819 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15565  2016-09-14 11:38:44,819 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15570  2016-09-14 11:38:44,824 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15570  2016-09-14 11:38:44,824 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15570  2016-09-14 11:38:44,824 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15709  2016-09-14 11:38:44,963 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15709  2016-09-14 11:38:44,963 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15709  2016-09-14 11:38:44,963 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15709  2016-09-14 11:38:44,963 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15709  2016-09-14 11:38:44,963 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15861  2016-09-14 11:38:45,115 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15863  2016-09-14 11:38:45,117 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15863  2016-09-14 11:38:45,117 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
15863  2016-09-14 11:38:45,117 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
15863  2016-09-14 11:38:45,117 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
19681  2016-09-14 11:38:48,935 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
19682  2016-09-14 11:38:48,936 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
19682  2016-09-14 11:38:48,936 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
19682  2016-09-14 11:38:48,936 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
19682  2016-09-14 11:38:48,936 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
23041  2016-09-14 11:38:52,295 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 3
23041  2016-09-14 11:38:52,295 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
23041  2016-09-14 11:38:52,295 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
23041  2016-09-14 11:38:52,295 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 3
23041  2016-09-14 11:38:52,295 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
29298  2016-09-14 11:38:58,552 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
29298  2016-09-14 11:38:58,552 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
29298  2016-09-14 11:38:58,552 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
29298  2016-09-14 11:38:58,552 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
29298  2016-09-14 11:38:58,552 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
30012  2016-09-14 11:38:59,266 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
30012  2016-09-14 11:38:59,266 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
30012  2016-09-14 11:38:59,266 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
30013  2016-09-14 11:38:59,267 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
30013  2016-09-14 11:38:59,267 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
30388  2016-09-14 11:38:59,642 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
30388  2016-09-14 11:38:59,642 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
30389  2016-09-14 11:38:59,643 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
30389  2016-09-14 11:38:59,643 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
30389  2016-09-14 11:38:59,643 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
30965  2016-09-14 11:39:00,219 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
30965  2016-09-14 11:39:00,219 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
30966  2016-09-14 11:39:00,220 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
30966  2016-09-14 11:39:00,220 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
30966  2016-09-14 11:39:00,220 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
31243  2016-09-14 11:39:00,497 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
31244  2016-09-14 11:39:00,498 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
